86	001569	泰信国策驱动灵活配置混合	混合型	100	100	43	100	85.75
87	002064	华富产业升级灵活配置混合	混合型	44	100	100	100	86.0
88	161631	融通人工智能指数(LOF)	股票指数	45	100	100	100	86.25
89	720001	财通价值动量混合	混合型	100	46	100	100	86.5
90	005094	万家臻选混合	混合型	100	100	46	100	86.5
91	001508	富国新动力灵活配置混合A	混合型	100	100	100	46	86.5
92	410003	华富成长趋势混合	混合型	47	100	100	100	86.75
93	006502	财通集成电路产业股票A	股票型	100	47	100	100	86.75
94	006503	财通集成电路产业股票C	股票型	100	48	100	100	87.0
95	004851	广发医疗保健股票	股票型	100	100	100	48	87.0
96	001069	华泰柏瑞消费成长混合	混合型	100	100	100	49	87.25
97	001468	广发改革混合	混合型	50	100	100	100	87.5
98	001000	中欧明睿新起点混合	混合型	100	100	100	50	87.5
